Africa	n.非洲	['æfrɪkə]
Alabama	阿拉巴马州（美国）	['ælə'bɑ:mə]
Alex	亚历克斯（男名）	['æleks]
Alice in Wonderland	《爱丽丝梦游仙境》	['wʌndə(r)lænd]
Allen	艾伦（姓）	['ælən]
Animal Helpline	动物保护热线	['helplaɪn]
April	n.四月	['eɪprəl]
Asia	n. 亚洲	['eɪʒə], ['eɪʃə]
Asian	adj.亚洲的；亚洲人的，n.亚洲人	['eɪʃ(ə)nˌ'eɪʒ(ə)n]
August	n.八月	['ɔːɡəst]
British	英国的；英国人的	['brɪtɪʃ]
Canada	n.加拿大	['kænədə]
Cathy	凯茜 （女名）	['kæθi]
China	中国	['tʃaɪnə]
Christmas	圣诞节	['krɪsməs]
Claudia	克劳迪娅（女名）	['klɔ:diə], ['klaʊdiə]
Disneyland	迪斯尼乐园	['dɪznilænd]
Donald Duck	唐老鸭	['dɒnəld] , ['dɑ:nəld]
Easter	复活节	['i:stə(r)]
Edmund Hillary	埃德蒙·希拉里	['edmənd] ['hɪləri]
English	n.＆adj.英语;英格兰的;英语的	['ɪŋglɪʃ]
Europe	n.欧洲	['jʊərəp]
February	n.二月	['februəri]
German	adj. 德国的; 德语的; 德国人的n. 德语; 德国人	['dʒə:(r)mən]
Germany	德国	['dʒɜːməni]
Harry Potter	《哈利·波特》	['pɒtə(r)], ['pɑ:tər]
Indian	adj.印度的 n. 印度人	['ɪndiən]
Internet	n.(国际)互联网;因特网	['ɪntənet]
January	n.一月	['dʒænjuəri]
Junko Tabei	田部井淳子	['dʒu:ŋəʊ] [tɑ:'beɪ]
London	伦敦	['lʌndən]
Martin Luther King	马丁·路德·金	['mɑ:(r)tɪn] ['lu:θə(r)] [kɪŋ]
Monday n.星期一['mʌndeɪ]_
Mr.	(用于男子的姓氏或姓名前)先生	['mɪstə]
Mrs.	(用于女子的姓氏或姓名前)太太;夫人	['mɪsɪz]
Nashville	纳什维尔（美国田纳西州府）	['næʃvɪl]
National Science Museum	国家科学博物馆	['næʃnəl]
Oliver Twist	《雾都孤儿》	['ɒlɪvə], ['ɑ:lɪvə] [twɪst]
Qomolangma	珠穆朗玛峰	['tʃəʊməʊ,lɑ:ŋmə]
Robinson Crusoe	《鲁滨逊漂流记》	['kru:səʊ]
Russian	adj.&n.俄罗斯的;俄罗斯人;俄语	['rʌʃn]
Sandy	桑迪（女名）	['sændi]
Survey	调查	['sɜːveɪ]
T-shirt	n.T恤衫	['tiːʃɜːt]
Taylor	泰勒 （姓）	['teɪlə(r)]
Tenzing Norgay	丹增·诺尔盖	['tenzɪŋ] ['nɒrgeɪ]
Tom Sawyer	《汤姆·索娅历险记》	['sɔ:jə(r)]
Western	adj.  西方国家的; （尤指）欧美的; 西方的(w可以小写)	['westə(r)n]
X-ray	n. X射线;X光	['eks reɪ]
able	adj.能够	['eɪbl]
absent	缺席；不在	['æbsənt]
accident	n.（交通）事故; 意外遭遇	['æksɪdənt]
action	n.行动	['ækʃ(ə)n]
active	活跃的；积极的	['æktɪv]
actor	n.演员	['æktə]
actually	adv. 真实地; 事实上	['æktʃuəli]
adult	adj. 成年的; 成人的 n. 成人; 成年动物	['ædʌlt], [ə'dʌlt]
after	prep.conj.在……以后	['ɑːftə]
afternoon	n.下午	['ɑːftə'nuːn]
agent	n.代理人;经纪人	['eɪdʒənt]
airport	n. 机场	['eəpɔːt]
almost	adv.几乎;差不多	['ɔːlməʊst]
also	adv.也;而且	['ɔːlsəʊ]
always	adv.总是	['ɔːlweɪz]
ancient	adj. 古代的; 古老的	['eɪnʃənt]
angry	adj.发怒的;生气的	['æŋgri]
animal	n.动物	['ænɪml]
answer	n.&v.答案;回答	['ɑːnsə]
any	adj.&pron.任何的;任一的;任何;任一	['eni]
anything	pron.(常用于否定句或疑问句)任何东西;任何事物	['enɪθɪŋ]
anyway	adv. 而且; 加之	['eniweɪ]
anywhere	adv.在任何地方	[ˈeniweə(r)]，['eniwer]
apple	n.苹果	['æpl]
area	n. 地域; 地区	['eəriə] , ['eriə]
argue	v. 争吵; 争论	['ɑ:(r)gju:]
army	n.陆军;陆军部队	['ɑːmi]
article	n.文章;论文 	['ɑːtɪk(ə)l]
artist	n.艺术家	['ɑːtɪst]
astronaut	n.宇航员;航天员	['æstrənɔːt]
attitude	n. 态度	['ætɪtjuːd]
autumn	n.秋天;秋季	['ɔːtəm]
average	 adj. 平均的	['ævərɪdʒ]
awful	很坏的；讨厌的	['ɔːfl]
baby	adj.&n.幼小的;婴儿	['beɪbi]
background	背景	['bækɡraʊnd]
backpack	背包；旅行包	['bækpæk]
badly	adv.严重地；差；非常	['bædli]
badminton	n.羽毛球运动	['bædmɪntən]
bandage	n. 绷带 v. 用绷带包扎	['bændɪdʒ]
banker n.银行家	['bæŋkə(r)]
baseball	n.棒球	['beɪsˌbɔːl]
basic	基本的	['beɪsɪk]
basic	基本的；基础的	['beɪsɪk]
basket	篮；筐	['bɑːskɪt]
basketball	n.篮球	['bæskɪtbɔːl]
bathroom	浴室；洗手间	['bɑːθruːm]
beauty	n. 美; 美丽	['bju:ti]
bedroom	n. 卧室	['bedru:m]
better	adj.&adv.(good和well的比较级)较好的(地);更好的(地)	['betə]
bicycle	n.自行车;脚踏车	['baɪsɪkl]
birthday	n.生日	['bɜːθdeɪ]
biscuit	饼干	['bɪskɪt]
blackboard	黑板	['blækbɔːd]
blender	n.食物搅拌器	['blendə]
body	n.身体	['bɒdi]
bookcase	n.书架;书柜	['bʊkkeɪs]
boring	adj.没聊的;令人厌倦的	['bɔːrɪŋ]
borrow	v. 借; 借用	['bɒrəʊ], ['bɑ:rəʊ]
bottle	瓶；瓶子	['bɒtl]
bottom	底部；最下部	['bɒtəm]
breakfast	n.早餐;早饭	['brekfəst]
broken	adj. 破损的; 残缺的	['brəʊkən]
brother	n.兄;弟	['brʌðə]
building	n.建筑物;房子  	['bɪldɪŋ]
burger (=hamburger)	n.汉堡包['bɜːɡə(r)]
burial	埋葬；安葬	['berɪəl]
burning	adj. 着火的；燃烧的	['bɜːnɪŋ]
business	n. 商业；生意	['bɪznɪs]
busy	adj.忙碌的;无暇的	['bɪzi]
butter	n.黄油;奶油	['bʌtə]
butterfly	n.蝴蝶	['bʌtəflaɪ]
cabbage	n.卷心菜;洋白菜	['kæbɪdʒ]
calendar	n.日历;日程表	['kælɪndə]
camera	n. 照相机; 摄影机; 摄像机	['kæmərə]
cancel	 v. 取消；终止	['kænsl]
candle	n.蜡烛	['kændl]
candy	n.糖果	['kændi]
cannibal	n. 食人肉者	['kænɪbl]
capital	首都	['kæpɪtl]
capital	首都；国都	['kæpɪtl]
careful	adj.小心的;细致的;精心的;慎重的	['keəfl]
carefully	adv.细致地;小心地;谨慎地	['keəfəli]
caring	 adj. 体贴人的；关心他人的	['keərɪŋ]
carrot	n.胡萝卜	['kærət]
carry	v. 拿; 提; 扛	['kæri]
celebrate	v.庆祝;庆贺	['selɪbreɪt]
central	中心的；中央的	['sentr(ə)l]
century	n. 百年; 世纪	['sentʃəri]
certain	adj. 某种; 某事; 某人	['sɜ:(r)tn]
