hello	int.你好;喂	[hə'ləʊ]
OK	int.＆adv.好;可以	[əʊ'keɪ]
HB (铅笔芯)硬黑[ˌeɪtʃ'biː]
CD	光盘;激光唱片	[ˌsiː'diː]
NBA	(美国)全国篮球协会[ˌen biː'eɪ]
UFO	不明飞行物	[ˌjuː ef 'əʊ]
CCTV	中国中央电视台	[ˌsiː siː tiː 'viː]
in English	用英语	[ɪn'ɪŋglɪʃ]
computer	n.计算机;电脑	[kəm'pjuːtə(r)]
eraser	n.橡皮	[ɪ'reɪzə(r)],[ɪ'reɪsər]
excuse	v.原谅;宽恕	[ɪk'skjuːs , ɪk'skjuːz]
about	prep.关于	[ə'baʊt]
You're welcome.	别客气。
let's=let us	让我们(一起)	  
relaxing	adj.轻松的;令人放松的	[rɪ'læksɪŋ]
banana	n.香蕉	[bə'nɑːnə]
tomato	n.西红柿	[tə'mɑːtəʊ],[tə'meɪtəʊ]
ice-cream	n.冰淇淋 [aɪs'kriːm]
eleven	num.十一	[ɪ'levn]
thirteen	num.十三	[ˌθɜː'tiːn]
fifteen	num.十五	[ˌfɪf'tiːn]
eighteen	num.十八	[ˌeɪ'tiːn]
July	n.七月	[dʒuː'laɪ]
September	n.九月	[sep'tembə]
October	n.十月	[ɒk'təʊbə]
November	n.十一月	[nəʊ'vembə]
December	n.十二月	[dɪ'sembə]
Chinese	n.＆adj.语文;汉语;汉语的;中国的[ˌtʃaɪ'niːz]
geography	n.地理(学)	[dʒi'ɒɡrəfi]
because	conj.因为[bɪˈkɒz].[bɪ'kɔːz]
guitar	n.吉他	[ɡɪ'tɑː]
today	adv.在今天	[tə'deɪ]
musician	n.音乐家	[mjuː'zɪʃ(ə)n]
o'clock	adv.(表示整点)……点钟	[ə'klɒk]
do (one's) homework	做作业
between	prep.介于……之间	[bɪ'twiːn]
afraid	adj.害怕;畏惧	[ə'freɪd]
arrive	v.到达	[ə'raɪv]
outside	adv.&adj.在外面;外面的	[ˌaʊt'saɪd]
important	adj.重要的	[ɪm'pɔːtnt]
before	prep.&adv.在……以前;以前	[bɪ'fɔː]
make (one's) bed	铺床
relax	v.放松;休息	[rɪ'læks]
remember	v.记住;记起	[rɪ'membə]
koala	n.树袋熊;考拉	[kəʊ'ɑːlə]
forget	v.忘记;遗忘	[fə'ɡet]
American	adj.&n.美国的;美洲的;美国人;美洲人	[ə'merɪkən]
delicious	adj.可口的;美味的	[dɪ'lɪʃəs]
again	adv.再一次;又一次	[ə'gen]
police	n.警察	[pə'liːs]
hotel	n.旅馆;酒店	[həʊ'tel]
across	adv.&prep.过;穿过	[ə'krɔːs]
behind	prep.在……后面	[bɪ'haɪnd]
around	adv.&prep.到处;大约	[ə'raʊnd]
along	prep.沿着	[ə'lɒŋ]
enjoy	v.享受;喜爱	[ɪn'dʒɔɪ]
tonight	adv.&n.(在)今晚;(在)今夜	[tə'naɪt]
describe	v.描述	[dɪ'skraɪb]
another	adj.&pron.另一;又一	[ə'nʌðə]
potato	n.土豆;马铃薯	[pə'teɪtəʊ]
take one's order	点菜
idea	n.想法;主意	[aɪ'dɪə]
museum	n.博物馆	[mjuː'zɪəm]
exciting	adj.使人兴奋的;令人激动的	[ɪk'saɪtɪŋ]
expensive	adj.昂贵的	[ɪk'spensɪv]
away	adv.离开;远离	[ə'weɪ]
ago	adv.以前	[ə'gəʊ]
surprise	n.&v.惊奇;惊讶;使吃惊	[sə'praɪz]
myself	pron.我自己;我本人	[maɪ'self]
decide	v.决定;选定	[dɪ'saɪd]
umbrella	n.伞;雨伞　	[ʌm'brelə]
below	prep.&adv.在 ... 下面;到……下面 	[bɪ'ləʊ]
enough	adj.&adv.足够的(地);充足的(地);充分的(地)	[ɪ'nʌf]
dislike	v.&n.不喜爱(的事物);厌恶(的事物) 	[dɪs'laɪk]
result	n.结果;后果	[rɪ'zʌlt]
online	adj.&adv.在线(的);联网(的)	[ˌɒn'laɪn]
although	conj.虽然;尽管;即使	[ɔːl'ðəʊ]
together	adv.在一起;共同	[tə'geðə]
magazine	n.杂志;期刊	[ˌmægə'ziːn]
however	adv.然而;不过	[haʊ'evə]
fantastic	adj.极好的;了不起的	[fæn'tæstɪk]
information	n.信息;消息	[ˌɪnfə'meɪʃn]
reporter	n.记者	[rɪ'pɔːtə]
performer	n.表演者;演员	[pə'fɔːmə]
example	n.实例;范例	[ɪg'zɑːmpl]
agree	v.同意;赞成;应允	[ə'griː]
discussion	n.讨论;商量	[dɪ'skʌʃn]
expect	v.预料;期待	[ɪk'spekt]
cartoon	n.动画片;卡通片	[kɑː'tuːn]
appear	v.出现	[ə'pɪə]
successful	adj.获得成功的;有成就的	[sək'sesfl]
unlucky	adj.不幸的;不吉利的	[ʌn'lʌki]
engineer	n.工程师	[ˌendʒɪ'nɪə]
resolution	n.决心;决定	[ˌrezə'luːʃn]
discuss	v.讨论;商量	[dɪ'skʌs]
beginning	n.开头;开端	[bɪ'gɪnɪŋ]
improve	v.改进;改善	[ɪm'pruːv]
themselves	pron.他(她、它)们自己	[ðəm'selvz]
relationship	n.关系;联系	[rɪ'leɪʃnʃɪp]
pollution	n.污染;污染物	[pə'luːʃn]
prediction	n.预言;预测	[prɪ'dɪkʃn]
pollute	v.污染	[pə'luːt]
environment	n.环境	[ɪn'vaɪrənmənt]
apartment	n.公寓套房	[ə'pɑːtmənt]
already	adv.已经;早已	[ɔːl'redi]
believe	v.相信;认为有可能	[bɪ'liːv]
disagree	v.不同意;持不同意见;有分歧	[dɪsə'ɡriː]
inside	adv.&prep.在…里面	[ɪn'saɪd]
impossible	adj.不可能存在的或发生的;不可能的	[ɪm'pɒsəbl]
machine	n.机器;机械装置	[mə'ʃiːn]
